Key,zh-CN,en-US,de-DE,ja-JP,fr-FR,nl-NL,pt-PT,es-ES,it-IT,ko-KR,zh-TW
copy,复制,Copy,Kopieren,コピー,Copier,Kopie,Copiar,Copia,Copia,복사,複製
restore,还原,Restore,Wiederherstellen,復元,Restaurer,Herstel,Restaurar,Restaurar,Ripristina,복원,還原
joined_mission_center,已加入【任务中心】,Added to Task Center,Zum „Aufgabenzentrum“ hinzugefügt,【タスクセンター】に追加されました,"Ajouté à ""Centre des tâches""","Toegevoegd aan ""Taak centrum"".","Adicionado ao ""Centro de Tarefas""","Añadido al ""Centro de Tareas""","Aggiunto al ""Centro delle attività"".",【작업 센터】에 가입됨,已加入【任務中心】
add_to_task_center,已添加“%s”至【任务中心】,Added “%s”  to Task Center,„%s“ zum „Aufgabenzentrum“ hinzugefügt,「%s」を【タスクセンター】に追加しました,"""%s"" a été ajouté à ""Centre des tâches""","%s"" toegevoegd aan ""Taak centrum""."," ""%s"" adicionado ao ""Centro de Tarefas""","Añadido ""%s"" al ""Centro de Tareas"".","Aggiunto ""%s"" al ""Centro delle attività"".","""%s""을(를)【작업 센터】에 추가함",已添加“%s”至【任務中心】
copy_failure,复制失败,Copy failed,Kopieren fehlgeschlagen,コピー失敗,Échec de la copie,Kopiëren mislukt,Falha na cópia,Error de copia,Copia fallita,복사 실패,複製失敗
unable_to_copy,无法复制“%s”,Unable to copy “%s”,„%s“ konnte nicht kopiert werden,「%s」をコピーできません,"Impossible de copier \""%s\""","\""%s\"" kon niet worden gekopieerd","Não foi possível copiar \""%s\""","No se puede copiar \\""%s\\""","Impossibile copiare \""%s\""","""%s""을(를) 복사할 수 없습니다",無法複製“%s”
unable_to_copy_multiple_files,无法复制“%s”等多个文件,Unable to copy multiple files including “%s”,„%s“ und andere Dateien konnten nicht kopiert werden,「%s」など複数のファイルをコピーできません,"Impossible de copier plusieurs fichiers dont \""%s\""","\""%s\"" en andere bestanden konden niet worden gekopieerd","Não foi possível copiar vários ficheiros, incluindo \""%s\""","No se pueden copiar varios archivos, incluido \\""%s\\"".","Impossibile copiare più file tra cui \""%s\"".","""%s"" 등 여러 파일을 복사할 수 없습니다",無法複製“%s”等多個文件
restore_failure,还原失败,Failed to restore,Wiederherstellung fehlgeschlagen,復元失敗,Échec de la restauration.,Restauratie mislukt,Falha na restauração,Error de restauración,Errore di ripristino,복원 실패,還原失敗
unable_to_restore,无法还原“%s”,"Failed to restore ""%s""",„%s“ kann nicht wiederhergestellt werden,「%s」を復元できませんでした。,"Impossible de restaurer ""%s"".","Kan ""%s"" niet herstellen","Falha ao restaurar ""%s""","Error al restaurar ""%s""","Errore durante il ripristino di ""%s"".","""%s""을(를) 복원할 수 없습니다",無法還原“%s”
unable_to_restore_multiple_files,无法还原“%s”等多个文件,"Failed to restore files including ""%s""","Mehrere Dateien, einschließlich „%s“, können nicht wiederhergestellt werden.",「%s」などの複数のファイルを復元できませんでした。,"Impossible de restaurer ""%s"" et plusieurs autres fichiers","Kan meerdere bestanden inclusief ""%s"" niet herstellen","Não é possível restaurar múltiplos ficheiros, incluindo ""%s""","No se han podido restaurar varios archivos incluyendo ""%s""","Impossibile ripristinare diversi file, inclusi ""%s"".",“%s” 등 여러 파일 복원 실패,無法還原“%s”等多個檔案
